label,title,speaker,lines
1,Alexander Hamilton,BURR,"How does a bastard, orphan, son of a whore and a"
1,Alexander Hamilton,BURR,"Scotsman, dropped in the middle of a forgotten"
1,Alexander Hamilton,BURR,"Spot in the Caribbean by providence, impoverished, in squalor"
1,Alexander Hamilton,BURR,Grow up to be a hero and a scholar?
1,Alexander Hamilton,LAURENS,The ten-dollar Founding Father without a father
1,Alexander Hamilton,LAURENS,Got a lot farther by working a lot harder
1,Alexander Hamilton,LAURENS,By being a lot smarter
1,Alexander Hamilton,LAURENS,By being a self-starter
1,Alexander Hamilton,LAURENS,"By fourteen, they placed him in charge of a trading charter"
1,Alexander Hamilton,JEFFERSON,And every day while slaves were being slaughtered and carted
1,Alexander Hamilton,JEFFERSON,"Away across the waves, he struggled and kept his guard up"
1,Alexander Hamilton,JEFFERSON,"Inside, he was longing for something to be a part of"
1,Alexander Hamilton,JEFFERSON,"The brother was ready to beg, steal, borrow, or barter"
1,Alexander Hamilton,MADISON,"Then a hurricane came, and devastation reigned"
1,Alexander Hamilton,MADISON,"Our man saw his future drip, dripping down the drain"
1,Alexander Hamilton,MADISON,"Put a pencil to his temple, connected it to his brain"
1,Alexander Hamilton,MADISON,"And he wrote his first refrain, a testament to his pain"
1,Alexander Hamilton,BURR,"Well, the word got around, they said,"
1,Alexander Hamilton,BURR,"""This kid is insane, man"""
1,Alexander Hamilton,BURR,Took up a collection just to send him to the mainland
1,Alexander Hamilton,BURR,"""Get your education, don't forget from whence you came, and"
1,Alexander Hamilton,BURR,"The world's gonna know your name. What's your name, man?"""
1,Alexander Hamilton,HAMILTON,Alexander Hamilton
1,Alexander Hamilton,HAMILTON,My name is Alexander Hamilton
1,Alexander Hamilton,HAMILTON,And there's a million things I haven't done
1,Alexander Hamilton,HAMILTON,"But just you wait, just you wait..."
1,Alexander Hamilton,ELIZA,"When he was ten his father split, full of it, debt-ridden"
1,Alexander Hamilton,ELIZA,"Two years later, see Alex and his mother bed-ridden"
1,Alexander Hamilton,ELIZA,"Half-dead sittin' in their own sick, the scent thick"
1,Alexander Hamilton,FULL COMPANY EXCEPT HAMILTON (whispering),And Alex got better but his mother went quick
